Time for retrivial;Number of moblie phones
1;3
2;3
4;1
5;1
6;1
7;1
10;1
12;1
13;1
14;2
15;1
17;2
18;1
23;1
25;3
27;2
30;1
33;1
34;1
36;1
37;2
39;1
43;2
45;1
46;1
47;1
48;2
49;1
53;1
58;1
59;2
60;2
62;1
64;2
65;2
67;1
68;3
69;1
71;1
79;1
80;1
92;1
98;1
100;1
103;1
104;2
124;2
128;1
131;1
137;2
143;1
144;3
153;1
159;2
165;1
177;1
182;1
185;1
192;1
200;1
203;1
215;1
250;1
263;2
276;1
279;1
280;1
295;2
299;1
301;1
306;1
312;1
330;1
341;1
346;1
351;1
354;1
364;1
366;1
370;1
380;1
419;1
428;1
435;1
448;1
477;1
484;1
496;1
530;1
537;1
593;1
603;1
629;1
661;1
765;1
814;1
905;1
907;1
978;1
992;1
1011;1
1093;1
1197;1
1362;1
2052;1
3387;1
4628;1
5691;1
6090;1
6513;1
7091;1
8604;1
9093;1
9328;1
10380;1
12877;1
13260;1
14196;1
19832;1
19922;1
28175;1
40521;1
41502;1
56053;1
67112;1
99045;1
162143;1
262786;1
294138;1
